,dropped,model,best_score_f1
133,"['C1', 'C7']",comnbayes,0.6451339803765649
134,"['C1', 'C7']",svc,0.612083533641627
135,"['C1', 'C8']",knn,0.6015818125766781
136,"['C1', 'C8']",dt,0.6570335828173082
137,"['C1', 'C8']",gnbayes,0.6772781393225158
138,"['C1', 'C8']",comnbayes,0.6898328730553451
139,"['C1', 'C8']",svc,0.6704692385427057
140,"['C1', 'C9']",knn,0.6072017549978095
141,"['C1', 'C9']",dt,0.6395799966049052
142,"['C1', 'C9']",gnbayes,0.681061096727551
143,"['C1', 'C9']",comnbayes,0.6834423476978804
144,"['C1', 'C9']",svc,0.6700305819687993
145,"['C1', 'C13']",knn,0.6134802704272433
146,"['C1', 'C13']",dt,0.6503482423499662
147,"['C1', 'C13']",gnbayes,0.6858988811514455
148,"['C1', 'C13']",comnbayes,0.6793489222193534
149,"['C1', 'C13']",svc,0.6651635042828683
150,"['C1', 'C14']",knn,0.6113489090292522
151,"['C1', 'C14']",dt,0.6589882548032151
152,"['C1', 'C14']",gnbayes,0.6855651932092673
153,"['C1', 'C14']",comnbayes,0.6922981415971263
154,"['C1', 'C14']",svc,0.6719423800590905
155,"['C1', 'C16']",knn,0.6258048032767606
156,"['C1', 'C16']",dt,0.6504572466193416
157,"['C1', 'C16']",gnbayes,0.6850235714718307
158,"['C1', 'C16']",comnbayes,0.6799103821874092
159,"['C1', 'C16']",svc,0.6694738087776332
160,"['C1', 'C18']",knn,0.622124140570498
161,"['C1', 'C18']",dt,0.6552512739411672
162,"['C1', 'C18']",gnbayes,0.6784482228474207
163,"['C1', 'C18']",comnbayes,0.6894079867686264
164,"['C1', 'C18']",svc,0.6644790051248333
165,"['C1', 'C19']",knn,0.5931442600495902
166,"['C1', 'C19']",dt,0.6593325507206538
167,"['C1', 'C19']",gnbayes,0.6821025867081616
168,"['C1', 'C19']",comnbayes,0.6909055835479914
169,"['C1', 'C19']",svc,0.6718857226079588
170,"['C1', 'C20']",knn,0.6349112120384993
171,"['C1', 'C20']",dt,0.6436348527043309
172,"['C1', 'C20']",gnbayes,0.6844525738005698
173,"['C1', 'C20']",comnbayes,0.691219990903626
174,"['C1', 'C20']",svc,0.6814788308302298
175,"['C1', 'C21']",knn,0.5870039349981463
176,"['C1', 'C21']",dt,0.6367288364931822
177,"['C1', 'C21']",gnbayes,0.6834969974506402
178,"['C1', 'C21']",comnbayes,0.6713825466431026
179,"['C1', 'C21']",svc,0.6577835382157772
180,"['C1', 'C22']",knn,0.5945946257450684
181,"['C1', 'C22']",dt,0.6552512739411672
182,"['C1', 'C22']",gnbayes,0.6848510537752114
183,"['C1', 'C22']",comnbayes,0.6884731902834751
184,"['C1', 'C22']",svc,0.6781372980725499
185,"['C1', 'C23']",knn,0.6150297553770807
186,"['C1', 'C23']",dt,0.652339887028234
187,"['C1', 'C23']",gnbayes,0.6921295649441926
188,"['C1', 'C23']",comnbayes,0.6929806651513811
189,"['C1', 'C23']",svc,0.6908970421962628
190,"['C1', 'C24']",knn,0.6139050138250058
191,"['C1', 'C24']",dt,0.6519626037864963
192,"['C1', 'C24']",gnbayes,0.6890997095275923
193,"['C1', 'C24']",comnbayes,0.6891734187797288
194,"['C1', 'C24']",svc,0.6830552771001599
195,"['C1', 'C27']",knn,0.6105137867100131
196,"['C1', 'C27']",dt,0.6407949253113634
197,"['C1', 'C27']",gnbayes,0.6799232965756625
198,"['C1', 'C27']",comnbayes,0.6867991107206131
199,"['C1', 'C27']",svc,0.69436611725961
200,"['C1', 'C28']",knn,0.6012581866370066
201,"['C1', 'C28']",dt,0.6543267282033718
202,"['C1', 'C28']",gnbayes,0.6856803017154596
203,"['C1', 'C28']",comnbayes,0.6815832701687189
204,"['C1', 'C28']",svc,0.6870478150308614
205,"['C1', 'C29']",knn,0.6223684635446312
206,"['C1', 'C29']",dt,0.6552512739411672
207,"['C1', 'C29']",gnbayes,0.680692014793092
208,"['C1', 'C29']",comnbayes,0.6911887894325801
209,"['C1', 'C29']",svc,0.678399495923974
210,"['C3', 'C4']",knn,0.6032811688188299
211,"['C3', 'C4']",dt,0.6062458220304221
212,"['C3', 'C4']",gnbayes,0.6721108923759179
213,"['C3', 'C4']",comnbayes,0.6781838799771324
214,"['C3', 'C4']",svc,0.6596965133391869
215,"['C3', 'C5']",knn,0.6029029875124216
216,"['C3', 'C5']",dt,0.655869942867761
217,"['C3', 'C5']",gnbayes,0.6619903731920035
218,"['C3', 'C5']",comnbayes,0.6799755878839746
219,"['C3', 'C5']",svc,0.6615941322446751
220,"['C3', 'C6']",knn,0.5992240153557185
221,"['C3', 'C6']",dt,0.6054810737165481
222,"['C3', 'C6']",gnbayes,0.6546797943766653
223,"['C3', 'C6']",comnbayes,0.6739254102012239
224,"['C3', 'C6']",svc,0.6672814351083871
225,"['C3', 'C7']",knn,0.5726847195984888
226,"['C3', 'C7']",dt,0.5991384753348961
227,"['C3', 'C7']",gnbayes,0.6203297695473374
228,"['C3', 'C7']",comnbayes,0.6337401373944029
229,"['C3', 'C7']",svc,0.604178977158468
230,"['C3', 'C8']",knn,0.6112000928258775
231,"['C3', 'C8']",dt,0.6438489759539989
232,"['C3', 'C8']",gnbayes,0.678853707655539
233,"['C3', 'C8']",comnbayes,0.6847487083747803
234,"['C3', 'C8']",svc,0.6669831494254563
235,"['C3', 'C9']",knn,0.5921182071034534
236,"['C3', 'C9']",dt,0.6455777122813935
237,"['C3', 'C9']",gnbayes,0.6835910499798621
238,"['C3', 'C9']",comnbayes,0.683680030551549
239,"['C3', 'C9']",svc,0.6744047893439743
240,"['C3', 'C13']",knn,0.5909089359333815
241,"['C3', 'C13']",dt,0.6467277946640693
242,"['C3', 'C13']",gnbayes,0.6860845025054114
243,"['C3', 'C13']",comnbayes,0.6868775652635527
244,"['C3', 'C13']",svc,0.6556413489768599
245,"['C3', 'C14']",knn,0.5849027110305102
246,"['C3', 'C14']",dt,0.6586982046111449
247,"['C3', 'C14']",gnbayes,0.6861905020083227
248,"['C3', 'C14']",comnbayes,0.6915490873501364
249,"['C3', 'C14']",svc,0.6801812576426796
250,"['C3', 'C16']",knn,0.622949305704144
251,"['C3', 'C16']",dt,0.6444766916888371
252,"['C3', 'C16']",gnbayes,0.6808079724505951
253,"['C3', 'C16']",comnbayes,0.6911393165778821
254,"['C3', 'C16']",svc,0.670093336139273
255,"['C3', 'C18']",knn,0.6079009689190926
256,"['C3', 'C18']",dt,0.6507303445070121
257,"['C3', 'C18']",gnbayes,0.6793174837728535
258,"['C3', 'C18']",comnbayes,0.6887911302944337
259,"['C3', 'C18']",svc,0.6733102079283022
260,"['C3', 'C19']",knn,0.6039678238410874
261,"['C3', 'C19']",dt,0.6493106099570903
262,"['C3', 'C19']",gnbayes,0.6733895501200419
263,"['C3', 'C19']",comnbayes,0.6980207254613606
264,"['C3', 'C19']",svc,0.6640649465582112
265,"['C3', 'C20']",knn,0.613827324326145
266,"['C3', 'C20']",dt,0.6440533061164131
267,"['C3', 'C20']",gnbayes,0.6798336978816085
268,"['C3', 'C20']",comnbayes,0.6899611160992359
269,"['C3', 'C20']",svc,0.6698143568451129
270,"['C3', 'C21']",knn,0.5854547809353342
271,"['C3', 'C21']",dt,0.6522022164297197
272,"['C3', 'C21']",gnbayes,0.6723741479137243
273,"['C3', 'C21']",comnbayes,0.6707698565193647
274,"['C3', 'C21']",svc,0.651181715647923
275,"['C3', 'C22']",knn,0.6088480995392083
276,"['C3', 'C22']",dt,0.6452833744377482
277,"['C3', 'C22']",gnbayes,0.6681301252384609
278,"['C3', 'C22']",comnbayes,0.6868660597709391
279,"['C3', 'C22']",svc,0.6763657677097656
280,"['C3', 'C23']",knn,0.5947820691442968
281,"['C3', 'C23']",dt,0.6420059036436359
282,"['C3', 'C23']",gnbayes,0.6708860293554914
283,"['C3', 'C23']",comnbayes,0.6865843489781185
284,"['C3', 'C23']",svc,0.6686777062552448
285,"['C3', 'C24']",knn,0.5981171829091015
286,"['C3', 'C24']",dt,0.6463459267012563
287,"['C3', 'C24']",gnbayes,0.674082106196109
288,"['C3', 'C24']",comnbayes,0.6916640570113562
289,"['C3', 'C24']",svc,0.6736332174398741
290,"['C3', 'C27']",knn,0.6054236015414731
291,"['C3', 'C27']",dt,0.6430759454375352
292,"['C3', 'C27']",gnbayes,0.6711829937322944
293,"['C3', 'C27']",comnbayes,0.6944779645488341
294,"['C3', 'C27']",svc,0.679204843118377
295,"['C3', 'C28']",knn,0.605153362502104
296,"['C3', 'C28']",dt,0.6406900145524584
