,dropped,model,best_score_f1
118,"['C19', 'C28']",comnbayes,0.6963632341577197
119,"['C19', 'C28']",svc,0.6861162845156198
120,"['C14', 'C27']",knn,0.6330103629227662
121,"['C14', 'C27']",dt,0.6385733622909231
122,"['C14', 'C27']",gnbayes,0.6867219706823022
123,"['C14', 'C27']",comnbayes,0.6931239644468452
124,"['C14', 'C27']",svc,0.7047078084117566
125,"['C14', 'C29']",knn,0.6000970825336913
126,"['C14', 'C29']",dt,0.6610941611645258
127,"['C14', 'C29']",gnbayes,0.6883990325228825
128,"['C14', 'C29']",comnbayes,0.6907448195592386
129,"['C14', 'C29']",svc,0.6747383871476789
130,"['C14', 'C28']",knn,0.5927092187781782
131,"['C14', 'C28']",dt,0.6590440498281903
132,"['C14', 'C28']",gnbayes,0.6842372017762438
133,"['C14', 'C28']",comnbayes,0.6954669997806526
134,"['C14', 'C28']",svc,0.6808997565210712
135,"['C27', 'C29']",knn,0.6216515328414982
136,"['C27', 'C29']",dt,0.6416741069883725
137,"['C27', 'C29']",gnbayes,0.6814170587781205
138,"['C27', 'C29']",comnbayes,0.6825281260271787
139,"['C27', 'C29']",svc,0.7003986547281943
140,"['C27', 'C28']",knn,0.6030789694206603
141,"['C27', 'C28']",dt,0.6277993398264017
142,"['C27', 'C28']",gnbayes,0.6787836845923199
143,"['C27', 'C28']",comnbayes,0.6885978184705979
144,"['C27', 'C28']",svc,0.6977028009767486
145,"['C29', 'C28']",knn,0.6089447462675168
146,"['C29', 'C28']",dt,0.653281353438212
147,"['C29', 'C28']",gnbayes,0.6812746271740452
148,"['C29', 'C28']",comnbayes,0.6914749487802341
149,"['C29', 'C28']",svc,0.6783993627092672
150,"['C23', 'C24', 'C19']",knn,0.6150535055991038
151,"['C23', 'C24', 'C19']",dt,0.6557326240051771
152,"['C23', 'C24', 'C19']",gnbayes,0.6978685575473291
153,"['C23', 'C24', 'C19']",comnbayes,0.6977136055964068
154,"['C23', 'C24', 'C19']",svc,0.6933343070314082
155,"['C23', 'C24', 'C14']",knn,0.6108248735726007
156,"['C23', 'C24', 'C14']",dt,0.6539872316704669
157,"['C23', 'C24', 'C14']",gnbayes,0.694819582885614
158,"['C23', 'C24', 'C14']",comnbayes,0.7009548999973858
159,"['C23', 'C24', 'C14']",svc,0.6881644722496186
160,"['C23', 'C24', 'C27']",knn,0.619719964304955
161,"['C23', 'C24', 'C27']",dt,0.6402464554428403
162,"['C23', 'C24', 'C27']",gnbayes,0.6944150419291938
163,"['C23', 'C24', 'C27']",comnbayes,0.6915367444183852
164,"['C23', 'C24', 'C27']",svc,0.6901503038346578
165,"['C23', 'C24', 'C29']",knn,0.6061757819408917
166,"['C23', 'C24', 'C29']",dt,0.6547348462540408
167,"['C23', 'C24', 'C29']",gnbayes,0.6925335984617693
168,"['C23', 'C24', 'C29']",comnbayes,0.6984686551745443
169,"['C23', 'C24', 'C29']",svc,0.705653112358257
170,"['C23', 'C24', 'C28']",knn,0.5932137679338471
171,"['C23', 'C24', 'C28']",dt,0.6536903438166233
172,"['C23', 'C24', 'C28']",gnbayes,0.6897051431752816
173,"['C23', 'C24', 'C28']",comnbayes,0.6904199562790112
174,"['C23', 'C24', 'C28']",svc,0.6853280335073031
175,"['C23', 'C19', 'C14']",knn,0.5975394548852336
176,"['C23', 'C19', 'C14']",dt,0.6647528547544532
177,"['C23', 'C19', 'C14']",gnbayes,0.6902451603915172
178,"['C23', 'C19', 'C14']",comnbayes,0.7027890631462178
179,"['C23', 'C19', 'C14']",svc,0.7115170126413675
180,"['C23', 'C19', 'C27']",knn,0.606761118596661
181,"['C23', 'C19', 'C27']",dt,0.6386903356723107
182,"['C23', 'C19', 'C27']",gnbayes,0.6897843078378975
183,"['C23', 'C19', 'C27']",comnbayes,0.6909993698853689
184,"['C23', 'C19', 'C27']",svc,0.695720138443073
185,"['C23', 'C19', 'C29']",knn,0.5881825216625851
186,"['C23', 'C19', 'C29']",dt,0.658373578694066
