,scaling_technique,model,best_score_f1
0,,knn,0.41551990885528217
1,,dt,0.48590966736086016
2,,gnbayes,0.5577882546988019
3,,comnbayes,0.5932715832851579
4,,svc,0.5319636426223543
5,"['C1', 'C3', 'C4']",knn,0.38528198517608014
6,"['C1', 'C3', 'C4']",dt,0.4283341043338453
7,"['C1', 'C3', 'C4']",gnbayes,0.5241867853625866
8,"['C1', 'C3', 'C4']",comnbayes,0.5666143926185084
9,"['C1', 'C3', 'C4']",svc,0.4956735499750174
10,"['C1', 'C3', 'C5']",knn,0.4106505418700541
11,"['C1', 'C3', 'C5']",dt,0.4737510231033992
12,"['C1', 'C3', 'C5']",gnbayes,0.5235210289526265
13,"['C1', 'C3', 'C5']",comnbayes,0.5810047886380774
14,"['C1', 'C3', 'C5']",svc,0.48486403587869714
15,"['C1', 'C3', 'C6']",knn,0.4214567892091707
16,"['C1', 'C3', 'C6']",dt,0.3855073077852692
17,"['C1', 'C3', 'C6']",gnbayes,0.5051245065131423
18,"['C1', 'C3', 'C6']",comnbayes,0.5727559653797073
19,"['C1', 'C3', 'C6']",svc,0.4866551271696219
20,"['C1', 'C3', 'C7']",knn,0.3199988539689536
21,"['C1', 'C3', 'C7']",dt,0.3914769706169051
22,"['C1', 'C3', 'C7']",gnbayes,0.4679858071119535
23,"['C1', 'C3', 'C7']",comnbayes,0.5173761391207005
24,"['C1', 'C3', 'C7']",svc,0.4002593230317987
25,"['C1', 'C3', 'C8']",knn,0.38534878478739126
26,"['C1', 'C3', 'C8']",dt,0.510188078484172
27,"['C1', 'C3', 'C8']",gnbayes,0.5272851868019935
28,"['C1', 'C3', 'C8']",comnbayes,0.5824777149373924
29,"['C1', 'C3', 'C8']",svc,0.4979367561988279
30,"['C1', 'C3', 'C9']",knn,0.39339502289970546
31,"['C1', 'C3', 'C9']",dt,0.4655615573593271
32,"['C1', 'C3', 'C9']",gnbayes,0.5266234862430171
33,"['C1', 'C3', 'C9']",comnbayes,0.5878999517311388
34,"['C1', 'C3', 'C9']",svc,0.4882658503083328
35,"['C1', 'C3', 'C13']",knn,0.3919819525701299
36,"['C1', 'C3', 'C13']",dt,0.47560073699862027
37,"['C1', 'C3', 'C13']",gnbayes,0.5275032005032004
38,"['C1', 'C3', 'C13']",comnbayes,0.584044178938594
39,"['C1', 'C3', 'C13']",svc,0.47564118897551355
40,"['C1', 'C3', 'C14']",knn,0.39607425114118255
41,"['C1', 'C3', 'C14']",dt,0.49364289951240214
42,"['C1', 'C3', 'C14']",gnbayes,0.532885100172322
43,"['C1', 'C3', 'C14']",comnbayes,0.5862981409216068
44,"['C1', 'C3', 'C14']",svc,0.48411253238574414
45,"['C1', 'C3', 'C16']",knn,0.39377997638867207
46,"['C1', 'C3', 'C16']",dt,0.4759596348934405
47,"['C1', 'C3', 'C16']",gnbayes,0.5255823413876062
48,"['C1', 'C3', 'C16']",comnbayes,0.5692524647507593
49,"['C1', 'C3', 'C16']",svc,0.4878283349549446
50,"['C1', 'C3', 'C18']",knn,0.39338091449099777
51,"['C1', 'C3', 'C18']",dt,0.4808271979036099
52,"['C1', 'C3', 'C18']",gnbayes,0.524448387259526
53,"['C1', 'C3', 'C18']",comnbayes,0.5779763807879748
54,"['C1', 'C3', 'C18']",svc,0.49558970238400885
55,"['C1', 'C3', 'C19']",knn,0.3623356230888512
56,"['C1', 'C3', 'C19']",dt,0.48083917244195995
57,"['C1', 'C3', 'C19']",gnbayes,0.5287914005717521
58,"['C1', 'C3', 'C19']",comnbayes,0.5906744593878066
59,"['C1', 'C3', 'C19']",svc,0.4886994575596191
60,"['C1', 'C3', 'C20']",knn,0.4028111319574735
61,"['C1', 'C3', 'C20']",dt,0.47184606900082005
62,"['C1', 'C3', 'C20']",gnbayes,0.5331923347445324
63,"['C1', 'C3', 'C20']",comnbayes,0.5767825522518009
64,"['C1', 'C3', 'C20']",svc,0.5037197704026559
65,"['C1', 'C3', 'C21']",knn,0.3892921918708357
66,"['C1', 'C3', 'C21']",dt,0.4864655358604513
67,"['C1', 'C3', 'C21']",gnbayes,0.5299222486678513
68,"['C1', 'C3', 'C21']",comnbayes,0.5648338523513863
69,"['C1', 'C3', 'C21']",svc,0.48280971592242644
70,"['C1', 'C3', 'C22']",knn,0.3861676627466101
71,"['C1', 'C3', 'C22']",dt,0.4712875735253828
72,"['C1', 'C3', 'C22']",gnbayes,0.533793096598586
73,"['C1', 'C3', 'C22']",comnbayes,0.5754660080925553
74,"['C1', 'C3', 'C22']",svc,0.4983919511860688
75,"['C1', 'C3', 'C23']",knn,0.4015537906349024
76,"['C1', 'C3', 'C23']",dt,0.4657685614496246
77,"['C1', 'C3', 'C23']",gnbayes,0.5395774541614469
78,"['C1', 'C3', 'C23']",comnbayes,0.5867864790479429
79,"['C1', 'C3', 'C23']",svc,0.5045514288675743
80,"['C1', 'C3', 'C24']",knn,0.3783725039427043
81,"['C1', 'C3', 'C24']",dt,0.46734625406779456
82,"['C1', 'C3', 'C24']",gnbayes,0.5419405777175893
83,"['C1', 'C3', 'C24']",comnbayes,0.5958207442712995
84,"['C1', 'C3', 'C24']",svc,0.4968277854932527
85,"['C1', 'C3', 'C27']",knn,0.3828773019505285
86,"['C1', 'C3', 'C27']",dt,0.4642389088845529
87,"['C1', 'C3', 'C27']",gnbayes,0.5293781988603135
88,"['C1', 'C3', 'C27']",comnbayes,0.5800856194754533
89,"['C1', 'C3', 'C27']",svc,0.5105011572995791
90,"['C1', 'C3', 'C28']",knn,0.36535335628265436
91,"['C1', 'C3', 'C28']",dt,0.47380578170445276
92,"['C1', 'C3', 'C28']",gnbayes,0.5183944503870013
93,"['C1', 'C3', 'C28']",comnbayes,0.575099219402179
94,"['C1', 'C3', 'C28']",svc,0.502101934276161
95,"['C1', 'C3', 'C29']",knn,0.40098569207011747
96,"['C1', 'C3', 'C29']",dt,0.47456747803069543
97,"['C1', 'C3', 'C29']",gnbayes,0.52518532140632
98,"['C1', 'C3', 'C29']",comnbayes,0.5781222719729987
99,"['C1', 'C3', 'C29']",svc,0.5105780855258192
100,"['C1', 'C4', 'C5']",knn,0.41240106678173094
101,"['C1', 'C4', 'C5']",dt,0.4783742553401501
102,"['C1', 'C4', 'C5']",gnbayes,0.5281164939275079
103,"['C1', 'C4', 'C5']",comnbayes,0.5877038697962454
104,"['C1', 'C4', 'C5']",svc,0.49283189963446333
105,"['C1', 'C4', 'C6']",knn,0.37259672128093185
106,"['C1', 'C4', 'C6']",dt,0.4256942922223611
107,"['C1', 'C4', 'C6']",gnbayes,0.5240391680047762
108,"['C1', 'C4', 'C6']",comnbayes,0.5910308627074259
109,"['C1', 'C4', 'C6']",svc,0.48675674903777305
110,"['C1', 'C4', 'C7']",knn,0.3397385818316051
111,"['C1', 'C4', 'C7']",dt,0.39806410625464334
112,"['C1', 'C4', 'C7']",gnbayes,0.4815603137391179
113,"['C1', 'C4', 'C7']",comnbayes,0.5198247084791398
114,"['C1', 'C4', 'C7']",svc,0.38869787090718283
115,"['C1', 'C4', 'C8']",knn,0.37604556689809276
116,"['C1', 'C4', 'C8']",dt,0.4285286842009531
117,"['C1', 'C4', 'C8']",gnbayes,0.5497310659232181
118,"['C1', 'C4', 'C8']",comnbayes,0.5747453418211269
119,"['C1', 'C4', 'C8']",svc,0.500766763098964
120,"['C1', 'C4', 'C9']",knn,0.4094211742346606
121,"['C1', 'C4', 'C9']",dt,0.460750169829376
122,"['C1', 'C4', 'C9']",gnbayes,0.5316734833388349
123,"['C1', 'C4', 'C9']",comnbayes,0.5687184032623401
124,"['C1', 'C4', 'C9']",svc,0.4899268526730907
125,"['C1', 'C4', 'C13']",knn,0.37962178656523415
126,"['C1', 'C4', 'C13']",dt,0.4121634088745152
127,"['C1', 'C4', 'C13']",gnbayes,0.5242618794288315
128,"['C1', 'C4', 'C13']",comnbayes,0.5728158562846508
129,"['C1', 'C4', 'C13']",svc,0.48011893471868616
130,"['C1', 'C4', 'C14']",knn,0.3950279987607665
131,"['C1', 'C4', 'C14']",dt,0.44117154372334877
132,"['C1', 'C4', 'C14']",gnbayes,0.5565717801430103
133,"['C1', 'C4', 'C14']",comnbayes,0.579493055791658
134,"['C1', 'C4', 'C14']",svc,0.5040165036094439
135,"['C1', 'C4', 'C16']",knn,0.41806914472328005
136,"['C1', 'C4', 'C16']",dt,0.4366147130495044
137,"['C1', 'C4', 'C16']",gnbayes,0.5544899765723705
138,"['C1', 'C4', 'C16']",comnbayes,0.5808320140930485
139,"['C1', 'C4', 'C16']",svc,0.5057235389820398
140,"['C1', 'C4', 'C18']",knn,0.4007652232655997
141,"['C1', 'C4', 'C18']",dt,0.44049026983442163
142,"['C1', 'C4', 'C18']",gnbayes,0.5386237773743541
143,"['C1', 'C4', 'C18']",comnbayes,0.5785150649838189
144,"['C1', 'C4', 'C18']",svc,0.4884048850296726
145,"['C1', 'C4', 'C19']",knn,0.39059045411484433
146,"['C1', 'C4', 'C19']",dt,0.4304786617005597
147,"['C1', 'C4', 'C19']",gnbayes,0.5442890993635454
148,"['C1', 'C4', 'C19']",comnbayes,0.5784872017148394
149,"['C1', 'C4', 'C19']",svc,0.5038700235358253
150,"['C1', 'C4', 'C20']",knn,0.40727388172108075
151,"['C1', 'C4', 'C20']",dt,0.4454673616225781
152,"['C1', 'C4', 'C20']",gnbayes,0.5523714246554279
153,"['C1', 'C4', 'C20']",comnbayes,0.5842902843189662
154,"['C1', 'C4', 'C20']",svc,0.5064318455871251
155,"['C1', 'C4', 'C21']",knn,0.3725593742158938
156,"['C1', 'C4', 'C21']",dt,0.477106316225818
157,"['C1', 'C4', 'C21']",gnbayes,0.534488732819016
158,"['C1', 'C4', 'C21']",comnbayes,0.5633785857052015
159,"['C1', 'C4', 'C21']",svc,0.4746611418892651
160,"['C1', 'C4', 'C22']",knn,0.4020192989865647
161,"['C1', 'C4', 'C22']",dt,0.43631397110648973
162,"['C1', 'C4', 'C22']",gnbayes,0.5544434269262803
163,"['C1', 'C4', 'C22']",comnbayes,0.5835395225893589
164,"['C1', 'C4', 'C22']",svc,0.5135394448583296
165,"['C1', 'C4', 'C23']",knn,0.40928094493152234
166,"['C1', 'C4', 'C23']",dt,0.4469528413944264
167,"['C1', 'C4', 'C23']",gnbayes,0.5643297819490424
168,"['C1', 'C4', 'C23']",comnbayes,0.578395184422172
169,"['C1', 'C4', 'C23']",svc,0.5394920057743098
170,"['C1', 'C4', 'C24']",knn,0.38421834762999646
171,"['C1', 'C4', 'C24']",dt,0.4343060552738772
172,"['C1', 'C4', 'C24']",gnbayes,0.5544421027315763
173,"['C1', 'C4', 'C24']",comnbayes,0.5796113524964033
174,"['C1', 'C4', 'C24']",svc,0.5280608735373704
175,"['C1', 'C4', 'C27']",knn,0.43597750602581176
176,"['C1', 'C4', 'C27']",dt,0.4539441298273534
177,"['C1', 'C4', 'C27']",gnbayes,0.5533842988310247
178,"['C1', 'C4', 'C27']",comnbayes,0.5781254373357723
179,"['C1', 'C4', 'C27']",svc,0.5317355063980498
180,"['C1', 'C4', 'C28']",knn,0.3884513897797518
181,"['C1', 'C4', 'C28']",dt,0.43924266648539395
182,"['C1', 'C4', 'C28']",gnbayes,0.5349669210400789
183,"['C1', 'C4', 'C28']",comnbayes,0.5833040640764501
184,"['C1', 'C4', 'C28']",svc,0.5046194860913806
185,"['C1', 'C4', 'C29']",knn,0.3817529819129486
186,"['C1', 'C4', 'C29']",dt,0.45892690683129356
187,"['C1', 'C4', 'C29']",gnbayes,0.5550526069009016
188,"['C1', 'C4', 'C29']",comnbayes,0.580458856547911
189,"['C1', 'C4', 'C29']",svc,0.5223368590985352
190,"['C1', 'C5', 'C6']",knn,0.351553751194316
191,"['C1', 'C5', 'C6']",dt,0.43057845837767805
192,"['C1', 'C5', 'C6']",gnbayes,0.5113749456865853
193,"['C1', 'C5', 'C6']",comnbayes,0.5690803551758857
194,"['C1', 'C5', 'C6']",svc,0.4698850067640065
195,"['C1', 'C5', 'C7']",knn,0.30775724049598024
196,"['C1', 'C5', 'C7']",dt,0.3838307275518191
197,"['C1', 'C5', 'C7']",gnbayes,0.4485177723208446
198,"['C1', 'C5', 'C7']",comnbayes,0.5069366410911662
199,"['C1', 'C5', 'C7']",svc,0.37643260428291136
200,"['C1', 'C5', 'C8']",knn,0.39416386305921186
201,"['C1', 'C5', 'C8']",dt,0.44078616864114484
202,"['C1', 'C5', 'C8']",gnbayes,0.543984811623242
203,"['C1', 'C5', 'C8']",comnbayes,0.5828815891552296
204,"['C1', 'C5', 'C8']",svc,0.5069509963603396
205,"['C1', 'C5', 'C9']",knn,0.41488540916873945
206,"['C1', 'C5', 'C9']",dt,0.46776624710031556
207,"['C1', 'C5', 'C9']",gnbayes,0.5356768732215766
208,"['C1', 'C5', 'C9']",comnbayes,0.5764078717022227
209,"['C1', 'C5', 'C9']",svc,0.4836878698643405
210,"['C1', 'C5', 'C13']",knn,0.38990468188142613
211,"['C1', 'C5', 'C13']",dt,0.48044609862620746
212,"['C1', 'C5', 'C13']",gnbayes,0.555636179587058
213,"['C1', 'C5', 'C13']",comnbayes,0.5843232197225682
214,"['C1', 'C5', 'C13']",svc,0.48452776790176977
215,"['C1', 'C5', 'C14']",knn,0.36235407737751224
216,"['C1', 'C5', 'C14']",dt,0.47893933051655846
217,"['C1', 'C5', 'C14']",gnbayes,0.5507314308424784
218,"['C1', 'C5', 'C14']",comnbayes,0.5915524043142331
219,"['C1', 'C5', 'C14']",svc,0.4848602849509417
220,"['C1', 'C5', 'C16']",knn,0.3652998705926093
221,"['C1', 'C5', 'C16']",dt,0.4797166458534593
222,"['C1', 'C5', 'C16']",gnbayes,0.5292672023723656
223,"['C1', 'C5', 'C16']",comnbayes,0.5925022621340263
224,"['C1', 'C5', 'C16']",svc,0.4966712520475247
225,"['C1', 'C5', 'C18']",knn,0.39026527472776074
226,"['C1', 'C5', 'C18']",dt,0.4686167807039201
227,"['C1', 'C5', 'C18']",gnbayes,0.5165354546621392
228,"['C1', 'C5', 'C18']",comnbayes,0.5935325449582918
229,"['C1', 'C5', 'C18']",svc,0.4890225857784974
230,"['C1', 'C5', 'C19']",knn,0.41851352556827803
231,"['C1', 'C5', 'C19']",dt,0.4861420090987137
232,"['C1', 'C5', 'C19']",gnbayes,0.5314697243200406
233,"['C1', 'C5', 'C19']",comnbayes,0.5922023117961104
234,"['C1', 'C5', 'C19']",svc,0.5049383269221545
235,"['C1', 'C5', 'C20']",knn,0.4279842499568255
236,"['C1', 'C5', 'C20']",dt,0.4856089088463616
237,"['C1', 'C5', 'C20']",gnbayes,0.5403003527041645
238,"['C1', 'C5', 'C20']",comnbayes,0.6017460718911527
239,"['C1', 'C5', 'C20']",svc,0.48855407016104013
240,"['C1', 'C5', 'C21']",knn,0.36364901139340733
241,"['C1', 'C5', 'C21']",dt,0.4762625275575544
242,"['C1', 'C5', 'C21']",gnbayes,0.5331518498240442
243,"['C1', 'C5', 'C21']",comnbayes,0.5753184734011534
244,"['C1', 'C5', 'C21']",svc,0.4693810866303664
245,"['C1', 'C5', 'C22']",knn,0.3639412179514278
246,"['C1', 'C5', 'C22']",dt,0.5078421898264275
247,"['C1', 'C5', 'C22']",gnbayes,0.5302166720060458
248,"['C1', 'C5', 'C22']",comnbayes,0.5898645172683746
249,"['C1', 'C5', 'C22']",svc,0.48623920840625
250,"['C1', 'C5', 'C23']",knn,0.4105036967553553
251,"['C1', 'C5', 'C23']",dt,0.4683006363792922
252,"['C1', 'C5', 'C23']",gnbayes,0.5440663185014357
253,"['C1', 'C5', 'C23']",comnbayes,0.5905457223707941
254,"['C1', 'C5', 'C23']",svc,0.4955907865719187
255,"['C1', 'C5', 'C24']",knn,0.39654584264222165
256,"['C1', 'C5', 'C24']",dt,0.4720277601123673
257,"['C1', 'C5', 'C24']",gnbayes,0.5727144956831829
258,"['C1', 'C5', 'C24']",comnbayes,0.5844762994144934
259,"['C1', 'C5', 'C24']",svc,0.47296008428114966
260,"['C1', 'C5', 'C27']",knn,0.4104589924718704
261,"['C1', 'C5', 'C27']",dt,0.47906742970980243
262,"['C1', 'C5', 'C27']",gnbayes,0.5385257542530164
263,"['C1', 'C5', 'C27']",comnbayes,0.5840239703202228
264,"['C1', 'C5', 'C27']",svc,0.5071354870846083
265,"['C1', 'C5', 'C28']",knn,0.3976355732413342
266,"['C1', 'C5', 'C28']",dt,0.4847523497954162
267,"['C1', 'C5', 'C28']",gnbayes,0.5362661834832853
268,"['C1', 'C5', 'C28']",comnbayes,0.590041663521119
269,"['C1', 'C5', 'C28']",svc,0.49294513812784935
270,"['C1', 'C5', 'C29']",knn,0.4045346289894353
271,"['C1', 'C5', 'C29']",dt,0.48179037074100456
272,"['C1', 'C5', 'C29']",gnbayes,0.5309499719162419
273,"['C1', 'C5', 'C29']",comnbayes,0.5984917573522723
274,"['C1', 'C5', 'C29']",svc,0.5014009904863089
275,"['C1', 'C6', 'C7']",knn,0.2591401727287667
276,"['C1', 'C6', 'C7']",dt,0.39938018935402353
277,"['C1', 'C6', 'C7']",gnbayes,0.4272856912301536
278,"['C1', 'C6', 'C7']",comnbayes,0.5234521756035414
279,"['C1', 'C6', 'C7']",svc,0.3741207916086497
280,"['C1', 'C6', 'C8']",knn,0.33016125598088164
281,"['C1', 'C6', 'C8']",dt,0.4603416148445805
282,"['C1', 'C6', 'C8']",gnbayes,0.5261302017138669
283,"['C1', 'C6', 'C8']",comnbayes,0.5802570480496336
284,"['C1', 'C6', 'C8']",svc,0.48466744907907844
285,"['C1', 'C6', 'C9']",knn,0.3727342185104689
286,"['C1', 'C6', 'C9']",dt,0.4349637385835843
287,"['C1', 'C6', 'C9']",gnbayes,0.5233735022788826
288,"['C1', 'C6', 'C9']",comnbayes,0.5695453561001881
289,"['C1', 'C6', 'C9']",svc,0.49072602623022793
290,"['C1', 'C6', 'C13']",knn,0.36750874792481675
291,"['C1', 'C6', 'C13']",dt,0.3888322565551767
292,"['C1', 'C6', 'C13']",gnbayes,0.5365481385186552
293,"['C1', 'C6', 'C13']",comnbayes,0.5657034767296831
294,"['C1', 'C6', 'C13']",svc,0.4949963421711329
295,"['C1', 'C6', 'C14']",knn,0.3677090913317117
296,"['C1', 'C6', 'C14']",dt,0.4356227607883009
297,"['C1', 'C6', 'C14']",gnbayes,0.517514720733836
298,"['C1', 'C6', 'C14']",comnbayes,0.577127719176684
299,"['C1', 'C6', 'C14']",svc,0.4812240137658789
300,"['C1', 'C6', 'C16']",knn,0.36890467510768266
